Normalized Address,2016 Calls,Total Calls,Business Name,Built Date,Tax SQFT,NbrStories,ShortName,OccupancyLoad,P_Latitude,P_Longitude,Institutional 2,Residential 2,Residential 3,Institutional 1,Residential 4,Institutional 4,Residential 1,Business
232 STILWELL OAKS CR,0,17,INREACH - STILWELL OAKS,1992,2784,1,Residential 4,7,35.2112,-80.7524,0,0,0,0,1,0,0,0
1735 TODDVILLE RD,121,1514,"CHARLOTTE HEALTH CARE, 1735",1991,35600,1,Institutional 2,150,35.2609,-80.9229,1,0,0,0,0,0,0,0
5820 CARMEL RD,114,1488,CHARLOTTE SQUARE,1991,3463,1,Residential 4,8,35.0979,-80.8399,0,0,0,0,1,0,0,0
5515 REA RD,43,673,BROOKDALE PLACE,1991,2746,1,Residential 4,6,35.0887,-80.8107,0,0,0,0,1,0,0,0
714 MCALWAY RD,5,58,MCALWAY HOME,1991,3034,1,Residential 4,7,35.1877,-80.7948,0,0,0,0,1,0,0,0
3017 SIMPSON DR,2,58,RESCARE SIMPSON DR GROUP HOME,1991,2648,1,Residential 3,6,35.2348,-80.7953,0,0,1,0,0,0,0,0
4916 DAYBREAK DR,4,56,"MAYFIELD MAYFIELD MEM. APTS, 4912",1991,2688,1,Residential 4,6,35.2824,-80.8103,0,0,0,0,1,0,0,0
1615 PURSER DR,5,37,RESCARE PURSER GROUP HOME,1991,2688,1,Residential 4,10,35.243,-80.7791,0,0,0,0,1,0,0,0
2103 WILSON AV,1,37,RESCARE WILSON GRP HOME,1991,2656,1,Residential 4,6,35.2324,-80.8993,0,0,0,0,1,0,0,0
2220 ST JOHNS CHURCH RD,1,22,RESCARE ST JOHNS CHURCH GRP HOME,1991,2660,1,Residential 4,6,35.2595,-80.7379,0,0,0,0,1,0,0,0
6312 WILLIAMS RD,1,18,INREACH - WILLIAMS,1991,2784,0,Institutional 1,6,35.2378,-80.73,0,0,0,1,0,0,0,0
7745 LITTLE AV,154,1110,"""ELM CROFT ASSISTED LIVING"", 7745",1990,3380,2,Residential 1,8,35.089,-80.8493,0,0,0,0,0,0,1,0
4901 DAYBREAK DR,4,52,"MAYFIELD MAYFIELD MEM. APTS, 4912",1990,3367,2,Residential 4,6,35.2827,-80.8117,0,0,0,0,1,0,0,0
5927 LAKEVIEW DR,3,46,LAKEVIEW GROUP HOME,1990,2688,1,Residential 4,10,35.153,-80.7901,0,0,0,0,1,0,0,0
7106 LEAVES LN,2,41,RESCARE LEAVES GROUP HOME,1990,41120,1,Institutional 2,200,35.2777,-80.7445,1,0,0,0,0,0,0,0
6119 MALLARD DR,3,13,RESCARE  MALLARD GROUP HOME,1990,2668,1,Residential 2,9,,,0,1,0,0,0,0,0,0
5601 FAULCONBRIDGE RD,2,12,NEW PLACE,1990,2688,0,Residential 4,6,35.2136,-80.7031,0,0,0,0,1,0,0,0
3829 NEVIN RD,1,4,"RHA HEALTH SERVICES GROUP HOME #3, 3829",1990,2668,1,Residential 4,8,35.2859,-80.8266,0,0,0,0,1,0,0,0
1700 MONTANA DR,250,1804,QUEEN CITY ASSISTED LIVING,1989,33209,2,Institutional 1,80,35.2687,-80.8556,0,0,0,1,0,0,0,0
6053 WILORA LAKE RD,185,1790,WILORA LAKE COVE,1989,3419,2,Residential 3,5,35.2102,-80.7459,0,0,1,0,0,0,0,0
3529 HATWYNN RD,,,LEIFESPAN HATWYNN GROUP HOME,1989,71829,1,Institutional 2,217,35.3291,-80.7902,1,0,0,0,0,0,0,0
6920 MARCHING DUCK DR,26,425,"THE CYPRESS HEALTH CENTER, 6920",1988,2489,2,Residential 4,6,,,0,0,0,0,1,0,0,0
1801 OAK ST,4,41,LIFESPAN  OAK STREET GROUP HOME,1988,3432,1,Residential 3,6,,,0,0,1,0,0,0,0,0
1006 NORWICH RD,0,14,RESCARE NORWICH GROUP HOME,1988,2818,1,Residential 3,6,35.2,-80.7013,0,0,1,0,0,0,0,0
6637 THE PLAZA,0,11,INREACH - THE PLAZA,1988,2852,1,Residential 3,10,35.2532,-80.7448,0,0,1,0,0,0,0,0
913 HIGHLAND MIST LN,1,5,MY BROTHERS HOUSE GROUP HOME,1988,2560,1,Residential 4,7,35.2529,-80.7691,0,0,0,0,1,0,0,0
2140 MILTON RD,151,1331,WILLOW RIDGE,1987,17517,1,Institutional 2,52,,,1,0,0,0,0,0,0,0
3505 ORIOLE PL,7,31,HOUSE OF PEACE SMALL FAMILY CARE HOME,1987,1220,1,Residential 4,5,35.3408,-80.7845,0,0,0,0,1,0,0,0
2823 STARNES RD,4,27,RESCARE STARNES GRP HOME,1987,2966,1,Residential 4,6,35.2512,-80.9572,0,0,0,0,1,0,0,0
2727 SHAMROCK DR,74,916,BRIAN CENTER,1986,28976,1,Institutional 2,200,35.2388,-80.7792,1,0,0,0,0,0,0,0
8919 PARK RD,70,798,"""SOUTHMINSTER""",1986,2829,1,Residential 3,10,35.1099,-80.8559,0,0,1,0,0,0,0,0
908 TOM HUNTER RD,0,10,SHADY HARBOR ADULT LIVING,1986,1220,1,Residential 4,5,35.2789,-80.781,0,0,0,0,1,0,0,0
3517 CROSS WINDS RD,1,3,COMMUNITY ALTERNATIVE TREATMENT,1986,3420,1,Residential 4,6,35.1821,-80.7192,0,0,0,0,1,0,0,0
5939 REDDMAN RD,142,1646,BRIAN CENTER HEALTH & RETIREMENT,1985,4112,1,Residential 4,7,35.2005,-80.7496,0,0,0,0,1,0,0,0
5512 CARMEL RD,130,1229,"""CARMEL PLACE""",1985,4148,1,Residential 4,7,35.1021,-80.8383,0,0,0,0,1,0,0,0
9131 BENFIELD RD,123,251,SHADS LANDING APARTMENTS,1985,4322,1,Residential 4,7,35.3635,-80.7865,0,0,0,0,1,0,0,0
3046 HEATHCROFT CT,1,75,RESCARE HEATHCROFT HOME,1985,2217,1,Residential 4,9,35.3302,-80.7802,0,0,0,0,1,0,0,0
3823 NEVIN RD,1,2,"RHA HEALTH SERVICES GROUP HOME #4, 3823",1985,3748,1,Residential 3,12,35.2854,-80.8276,0,0,1,0,0,0,0,0
5901 WOODBRIDGE RD,10,82,RESCARE WOODBRIDGE GROUP HOME,1984,3581,1,Residential 3,7,35.2069,-80.7179,0,0,1,0,0,0,0,0
3018 CROSBY RD,5,14,INREACH - CROSBY,1984,3748,1,Residential 4,7,35.1709,-80.8049,0,0,0,0,1,0,0,0
10408 AVONDALE AV,0,2,ASSISTED LIVING HOME,1984,4101,1,Residential 3,6,35.1042,-80.8709,0,0,1,0,0,0,0,0
4016 PINEY GROVE RD,0,9,PINEY GROVE GROUP HOME,1983,3451,1,Residential 3,7,,,0,0,1,0,0,0,0,0
4720 WILSHAM CT,2,4,S&T FAMILY HOME CARE,1983,153137,1,Institutional 2,175,35.0984,-80.7997,1,0,0,0,0,0,0,0
5419 TWIN LN,1,2,NEW FOUNDATION TWIN LN GROUP HOME,1983,2653,1,Residential 4,6,35.2925,-80.8064,0,0,0,0,1,0,0,0
7325 SWANS RUN RD,10,41,RADBOURNE II,1982,1339,1,Residential 4,5,35.1069,-80.7917,0,0,0,0,1,0,0,0
1631 FORSYTHIA CR,6,34,INREACH - FORSYTHIA,1982,3564,1,Residential 4,7,35.2548,-80.9042,0,0,0,0,1,0,0,0
3446 NEVIN RD,2,16,INREACH - NEVIN,1982,3718,1,Residential 4,10,35.2822,-80.8306,0,0,0,0,1,0,0,0
1821 BISHOP MADISON LN,74,647,MADISON SAINTS PARADISE SOUTH SENIOR LIVING,1981,42280,5,Residential 2,200,,,0,1,0,0,0,0,0,0
401 EAST BV,1,3,DR THOMAS KERR CHIROPRACTOR/CONNECTIONS,1981,3334,1,Residential 4,6,35.2101,-80.855,0,0,0,0,1,0,0,0
2616 E 5TH ST,106,1197,COMPLETE CARE OF CHARLOTTE,1980,35899,1,Institutional 2,163,35.2044,-80.8114,1,0,0,0,0,0,0,0
8324 DENBUR DR,1,8,RESCARE DENBUR GROUP HOME,1978,1864,1,Residential 3,12,35.229,-80.6733,0,0,1,0,0,0,0,0
4815 N SHARON AMITY RD,186,2513,"EAST TOWNE MANOR, 4815",1975,1711,1,Residential 4,4,35.2251,-80.7489,0,0,0,0,1,0,0,0
2137 B AV,2,20,GIC OF CHARLOTTE - GROWING IN CARE,1975,5994,1,Business,30,,,0,0,0,0,0,0,0,1
5108 REAGAN DR,36,107,CHAMPION HOUSE OF CARE LLC,1974,34999,1,Institutional 2,155,35.2761,-80.7952,1,0,0,0,0,0,0,0
8205 BROWNE  RD,,,RESCARE BROWNE RD HOME,1973,4682,1,Business,15,,,0,0,0,0,0,0,0,1
1705 QUEEN CITY DR,31,397,SENIOR VILLAGE,1972,13634,2,Residential 2,30,35.2444,-80.8989,0,1,0,0,0,0,0,0
5216 CLEARWATER RD,1,13,JOURNEY PLACE GROUP HOME,1972,994,1,Residential 4,3,35.1765,-80.8981,0,0,0,0,1,0,0,0
3705 PROSPERITY CHURCH RD,156,978,PROSPERITY CREEK SENIOR APARTMENTS,1971,1115,1,Residential 3,5,,,0,0,1,0,0,0,0,0
2000 NEWLAND RD,2,47,"ANGEL HOUSE MATERNITY HOME, 2000",1971,2050,2,Residential 4,4,35.2656,-80.8479,0,0,0,0,1,0,0,0
3827 NEVIN RD,1,6,RHA HEALTH SERVICES GROUP HOME #1 3827,1971,1326,1,Residential 1,5,,,0,0,0,0,0,0,1,0
3501 E INDEPENDENCE BV,63,762,INDEPENDENCE PLACE,1967,26205,2,Residential 4,350,35.2025,-80.7835,0,0,0,0,1,0,0,0
7401 LISA CR,2,17,INREACH - LISA CIRCLE,1966,2500,1,Residential 4,15,35.2489,-80.7345,0,0,0,0,1,0,0,0
5802 OLD PROVIDENCE RD,77,529,CARRIAGE CLUB ASSISTED LIVING (COACHOUSE),1961,2956,1,Residential 1,6,35.1341,-80.7885,0,0,0,0,0,0,1,0
4231 CHELMSFORD RD,0,6,INREACH - CHELMSFORD,1960,4036,1,Residential 4,6,35.178,-80.8043,0,0,0,0,1,0,0,0
1529 JENNINGS ST,,,JENNINGS HOUSE,1960,2208,2,Residential 3,4,35.2557,-80.8504,0,0,1,0,0,0,0,0
5917 ROWAN WY,4,23,ROWAN WAY GR0UP HOME AUTISM SERVICES,1957,2937,0,Residential 3,5,35.2606,-80.9325,0,0,1,0,0,0,0,0
2422 N TRYON ST,1,6,FAMILY SUPPORT SERVICES,1955,12037,2,Business,25,35.2468,-80.8178,0,0,0,0,0,0,0,1
4319 MANTLE CT,2,38,MANTLE CT GROUP HOME,1954,3140,1,Residential 1,12,35.196,-80.7818,0,0,0,0,0,0,1,0
6800 DEMOCRACY DR,5,13,RAE'S PLAYZE ADULT DAY CENTER,1954,1972,1,Residential 3,12,35.2006,-80.7316,0,0,1,0,0,0,0,0
712 FALLS CHURCH RD,0,1,INREACH - FALLS CHURCH,1953,2623,2,Residential 4,6,35.1404,-80.7511,0,0,0,0,1,0,0,0
7108 SWANS RUN RD,0,13,INREACH - SWANS RUN,1930,40167,3,Institutional 2,150,35.1095,-80.7916,1,0,0,0,0,0,0,0
9200 GLENWATER DR,100,1660,UNIVERSITY PLACE NURSING HOME,1920,1500,2,Business,5,35.3163,-80.7501,0,0,0,0,0,0,0,1
2221 PARK RD,,,DAVEDE VARNER CLINICAL MASSAGE THERAPY,1920,1200,2,Business,6,35.1998,-80.8518,0,0,0,0,0,0,0,1
